"","year","ave_length"
"1",1977,36.2769607843137
"2",1978,37.2788798133022
"3",1979,35.1672185430464
"4",1980,35.0820353063344
"5",1981,35.5388302972196
"6",1982,31.7108974358974
"7",1983,32.3906350224503
"8",1984,31.9293849658314
"9",1985,32.617843866171
"10",1986,33.0574443141852
"11",1987,29.5533769063181
"12",1988,28.1906906906907
"13",1989,25.792093704246
"14",1990,28.408658008658
"15",1991,25.9532019704433
"16",1992,26.8599562363238
"17",1993,27.2859350850077
"18",1994,29.7571942446043
"19",1995,26.9151459854015
"20",1996,26.3284223449969
"21",1997,26.1772990886495
"22",1998,28.2025148908008
"23",1999,28.3221601489758
"24",2000,26.1303754266212
"25",2001,27.140362659503
"26",2002,27.2423529411765
