"Daily Weather Observations for Falls Creek, Victoria for July 2019",,,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Wednesday  7 August 2019   IDCJDW3027.201907,,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Falls Creek {station 083084},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
,1/7/2019,-3.7,-0.8,1.6,,,NW,24,0:03,-3.1,97,,NW,7,,-1.6,98,,NNW,7,
,2/7/2019,-4.2,-0.2,0,,,NNW,11,1:43,-3,97,,NNW,6,,-0.7,98,, ,Calm,
,3/7/2019,-3,1,0.8,,,SE,24,18:22,-1.7,98,, ,Calm,,0.1,99,, ,Calm,
,4/7/2019,-2.3,4.3,0.2,,,ESE,19,20:28,1,91,,WNW,6,,3.3,88,,NNW,4,
,5/7/2019,-0.7,6.1,0,,,NNE,28,19:59,2.6,85,,N,11,,5.6,72,,NNW,9,
,6/7/2019,1.3,6,0,,,NNW,37,5:25,3.4,75,,N,6,,5,73,,NNE,7,
,7/7/2019,1.5,3.5,0,,,N,61,22:32,2.2,96,,NNW,33,,2.2,99,,NNW,19,
,8/7/2019,1.5,2,17.6,,,N,52,0:20,1.7,99,,WNW,24,,0.9,99,,WNW,15,
,9/7/2019,-2.5,-0.6,3.4,,,NNW,54,17:52,-2.1,97,,W,37,,-0.9,99,,NNW,24,
,10/7/2019,-2.1,-0.1,8.6,,,NW,43,0:11,-0.7,99,,NNW,22,,-1,99,,NNW,26,
,11/7/2019,-4.1,0.2,13.2,,,NW,72,15:55,-3.2,97,,NW,6,,-1.2,99,,NNW,39,
,12/7/2019,-3.2,1.1,15.8,,,NNW,85,17:22,0.2,99,,NNW,24,,1,99,,NNW,43,
,13/7/2019,-6.2,-3.5,40.4,,,W,28,0:00,-4.9,95,, ,Calm,,-4.2,96,, ,Calm,
,14/7/2019,-5.8,-1.2,3.8,,,NW,63,16:51,-4.5,95,,NW,24,,-3.2,97,,NW,17,
,15/7/2019,-4.5,1.5,11.2,,,SW,78,19:52,-3.4,94,, ,Calm,,0.1,88,,SW,11,
,16/7/2019,-3.5,0.7,0.4,,,SW,63,7:39,-0.2,79,,WSW,33,,0.7,96,,SW,28,
,17/7/2019,-2.6,-0.5,0.4,,,NW,48,5:48,-2.6,98,, ,Calm,,-0.9,99,, ,Calm,
,18/7/2019,-4.3,0.6,5.6,,,WSW,2,5:18,-3.2,77,, ,Calm,,-0.2,94,, ,Calm,
,19/7/2019,-3.5,1.1,0.8,,,WNW,20,23:51,-0.8,99,, ,Calm,,0.4,94,, ,Calm,
,20/7/2019,-3.6,0.7,0,,,NNW,61,23:19,-2,98,,WNW,20,,-0.1,95,,NNW,22,
,21/7/2019,-2,0.4,0,,,NNW,70,0:11,-0.2,99,,NNW,20,,0,99,,NNW,24,
,22/7/2019,-2.9,2,0.2,,,NNW,65,23:38,-0.9,51,,NW,33,,1.3,74,,NNW,35,
,23/7/2019,-1.8,-0.1,0.8,,,NNW,61,3:45,-1.6,98,,NNW,33,,-1.1,99,, ,Calm,
,24/7/2019,-5.8,4.3,17.4,,,SW,39,11:53,-4.5,84,, ,Calm,,0.3,93,, ,Calm,
,25/7/2019,-4.5,6.6,0,,,NNW,48,21:28,4.3,37,, ,Calm,,4.9,61,, ,Calm,
,26/7/2019,-1.9,1.9,0,,,WSW,50,8:14,0.2,96,,W,31,,1.2,98,,WNW,2,
,27/7/2019,-0.4,0.8,0.6,,,WNW,52,15:33,0.2,99,,NW,15,,0.3,96,,WNW,26,
,28/7/2019,-1.1,1.6,0.4,,,NW,43,18:36,-0.1,99,,NW,26,,0.8,90,,NW,22,
,29/7/2019,-0.2,1.6,11.4,,,NNW,39,1:33,0.3,99,,WNW,9,,0.8,99,, ,Calm,
,30/7/2019,-5.8,1.6,0.8,,,SSE,30,0:25,-4.8,95,,SSE,17,,-1.4,90,, ,Calm,
,31/7/2019,-4.8,6.5,0,,,SE,9,0:01,1.6,48,, ,Calm,,6.4,68,, ,Calm,
